Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.520000,9.820000,9.520000,9.700000,6.421891,37500
2010-01-05,10.840000,10.840000,9.720000,10.130000,6.706573,121400
2010-01-06,10.150000,10.190000,9.900000,9.950000,6.587403,30100
2010-01-07,9.670000,10.000000,9.590000,9.970000,6.600643,18000
2010-01-08,9.960000,9.960000,9.860000,9.900000,6.554300,23800
2010-01-11,10.100000,10.220000,9.750000,9.750000,6.454993,16900
2010-01-12,9.600000,9.600000,9.100000,9.400000,6.223276,19200
2010-01-13,9.300000,9.860000,9.150000,9.210000,6.097486,23900
2010-01-14,9.180000,9.470000,9.150000,9.300000,6.157070,34900
2010-01-15,9.410000,9.440000,9.190000,9.290000,6.150449,23400
2010-01-19,9.250000,9.830000,9.020000,9.520000,6.302722,49600
2010-01-20,9.340000,9.900000,9.290000,9.730000,6.441752,23000
2010-01-21,9.810000,9.990000,9.300000,9.490000,6.282859,19900
2010-01-22,9.440000,9.440000,8.970000,9.050000,5.991558,25200
2010-01-25,9.100000,9.350000,8.990000,9.210000,6.097486,271400
2010-01-26,9.170000,9.440000,9.010000,9.210000,6.097486,127100
2010-01-27,9.070000,9.220000,9.070000,9.200000,6.090865,10900
2010-01-28,9.400000,9.450000,9.200000,9.450000,6.256378,35800
2010-01-29,9.660000,9.660000,9.210000,9.310000,6.163691,54800
2010-02-01,9.400000,9.400000,9.200000,9.300000,6.157070,26700
2010-02-02,9.400000,9.400000,9.150000,9.360000,6.196794,15600
2010-02-03,9.330000,9.350000,9.230000,9.300000,6.157070,11900
2010-02-04,9.270000,9.290000,9.050000,9.170000,6.071003,31900
2010-02-05,9.080000,9.160000,8.940000,9.160000,6.064383,41100
2010-02-08,9.060000,9.120000,9.050000,9.110000,6.031281,5400
2010-02-09,9.220000,9.340000,9.060000,9.250000,6.123967,23000
2010-02-10,9.390000,9.390000,9.090000,9.260000,6.130588,193100
2010-02-11,9.170000,9.400000,9.170000,9.270000,6.137209,12500
2010-02-12,9.400000,9.400000,9.270000,9.310000,6.163691,15600
2010-02-16,9.330000,9.400000,9.080000,9.360000,6.196794,67700
2010-02-17,9.390000,9.700000,9.350000,9.610000,6.362306,27900
2010-02-18,9.520000,9.740000,9.510000,9.590000,6.349064,10500
2010-02-19,9.610000,9.620000,9.500000,9.620000,6.368925,5200
2010-02-22,9.600000,9.610000,9.510000,9.560000,6.329204,29800
2010-02-23,9.490000,9.490000,9.340000,9.410000,6.229896,33000
2010-02-24,9.330000,9.400000,8.770000,9.390000,6.216654,15000
2010-02-25,9.270000,9.310000,9.200000,9.250000,6.123967,20200
2010-02-26,9.270000,9.450000,9.270000,9.450000,6.256378,52200
2010-03-01,9.650000,9.870000,9.500000,9.720000,6.435132,26800
2010-03-02,9.760000,9.800000,9.710000,9.730000,6.441752,18400
2010-03-03,9.720000,9.720000,9.470000,9.600000,6.355685,13400
2010-03-04,9.520000,9.620000,9.460000,9.590000,6.349064,23800
2010-03-05,9.600000,9.750000,9.510000,9.580000,6.342444,35900
2010-03-08,9.650000,9.700000,9.500000,9.640000,6.382167,33600
2010-03-09,9.560000,9.750000,9.560000,9.650000,6.388788,99800
2010-03-10,9.570000,9.800000,9.570000,9.750000,6.454993,13900
2010-03-11,9.650000,9.850000,9.580000,9.690000,6.415269,12400
2010-03-12,9.650000,9.900000,9.650000,9.860000,6.527818,37800
2010-03-15,9.740000,9.910000,9.660000,9.840000,6.514577,27000
2010-03-16,9.900000,10.250000,9.860000,10.230000,6.772777,79200
2010-03-17,10.310000,10.570000,10.250000,10.360000,6.858843,112700
2010-03-18,10.210000,10.380000,10.150000,10.330000,6.838982,36300
2010-03-19,10.280000,10.420000,10.200000,10.280000,6.805880,33200
2010-03-22,10.180000,10.290000,10.090000,10.250000,6.786018,27900
2010-03-23,10.180000,10.340000,10.180000,10.280000,6.805880,36700
2010-03-24,10.250000,10.340000,10.190000,10.300000,6.819120,13200
2010-03-25,10.300000,10.800000,10.300000,10.600000,7.017735,169300
2010-03-26,10.700000,10.730000,10.600000,10.600000,7.017735,57500
2010-03-29,10.690000,10.720000,10.650000,10.700000,7.083941,8000
2010-03-30,10.660000,10.870000,10.650000,10.790000,7.143525,25100
2010-03-31,10.800000,10.860000,10.620000,10.830000,7.170008,19300
2010-04-01,10.800000,11.500000,10.800000,11.480000,7.600340,45300
2010-04-05,11.380000,11.730000,11.380000,11.580000,7.666544,73600
2010-04-06,11.520000,11.950000,11.520000,11.830000,7.832057,32500
2010-04-07,11.870000,11.930000,11.760000,11.790000,7.805576,118600
2010-04-08,11.680000,11.780000,11.620000,11.780000,7.798955,39200
2010-04-09,11.790000,12.120000,11.700000,11.920000,7.891642,66600
2010-04-12,12.020000,12.020000,11.800000,11.850000,7.845300,17900
2010-04-13,11.800000,12.000000,11.800000,11.990000,7.937985,40400
2010-04-14,11.790000,11.870000,11.510000,11.730000,7.765851,53600
2010-04-15,11.940000,11.940000,11.740000,11.790000,7.805576,32900
2010-04-16,11.800000,11.800000,11.150000,11.550000,7.646684,171700
2010-04-19,11.710000,11.940000,11.590000,11.940000,7.904883,121700
2010-04-20,12.260000,12.610000,12.210000,12.510000,8.282253,135000
2010-04-21,12.460000,12.800000,12.450000,12.690000,8.401421,91400
2010-04-22,12.690000,12.740000,12.620000,12.710000,8.414661,150700
2010-04-23,12.750000,13.170000,12.750000,12.970000,8.586797,45900
2010-04-26,12.890000,13.500000,12.890000,13.230000,8.758928,266600
2010-04-27,13.520000,13.940000,12.550000,12.650000,8.374939,119400
2010-04-28,12.830000,12.830000,12.170000,12.600000,8.341838,150700
2010-04-29,12.570000,13.070000,12.500000,12.980000,8.593415,201100
2010-04-30,13.010000,13.010000,12.220000,12.710000,8.414661,84100
2010-05-03,12.930000,12.930000,12.400000,12.720000,8.421283,50000
2010-05-04,12.700000,12.700000,12.180000,12.370000,8.189565,42200
2010-05-05,12.510000,12.510000,11.980000,12.110000,8.017432,34400
2010-05-06,11.950000,12.200000,11.500000,11.660000,7.719510,82000
2010-05-07,11.500000,11.630000,11.300000,11.370000,7.527514,104300
2010-05-10,11.670000,12.680000,11.500000,12.560000,8.315354,126300
2010-05-11,12.570000,12.570000,12.240000,12.350000,8.176325,34100
2010-05-12,12.420000,12.540000,12.300000,12.450000,8.242530,27700
2010-05-13,11.580000,12.580000,10.750000,12.480000,8.262390,153900
2010-05-14,12.480000,12.530000,11.720000,11.900000,7.878402,75200
2010-05-17,12.000000,12.340000,11.890000,12.100000,8.010814,51600
2010-05-18,12.090000,12.530000,12.020000,12.150000,8.043914,44600
2010-05-19,12.150000,12.250000,11.630000,11.730000,7.765851,113800
2010-05-20,11.400000,11.620000,10.800000,11.080000,7.335520,83100
2010-05-21,10.970000,10.990000,10.800000,10.940000,7.242832,46400
2010-05-24,10.800000,11.000000,10.730000,10.950000,7.249454,30400
2010-05-25,10.620000,10.820000,10.610000,10.670000,7.064079,26100
2010-05-26,10.660000,10.910000,10.640000,10.670000,7.064079,25000
2010-05-27,10.700000,11.020000,10.660000,11.020000,7.295798,85500
2010-05-28,10.950000,11.060000,10.710000,11.000000,7.282555,74400
2010-06-01,10.830000,11.010000,10.780000,10.880000,7.203110,23200
2010-06-02,10.860000,11.050000,10.800000,11.020000,7.295798,51500
2010-06-03,10.980000,11.070000,10.900000,11.030000,7.302418,33700
2010-06-04,10.890000,11.020000,10.660000,10.730000,7.103801,28500
2010-06-07,10.630000,10.830000,10.550000,10.590000,7.011116,25000
2010-06-08,10.710000,10.830000,10.400000,10.590000,7.011116,31700
2010-06-09,10.530000,10.910000,10.530000,10.720000,7.097182,22800
2010-06-10,11.030000,11.090000,10.640000,10.800000,7.150146,23800
2010-06-11,10.630000,10.800000,10.580000,10.800000,7.150146,22000
2010-06-14,10.790000,11.000000,10.730000,10.800000,7.150146,39900
2010-06-15,10.720000,11.000000,10.640000,11.000000,7.282555,29200
2010-06-16,11.000000,11.000000,10.770000,10.970000,7.262695,43800
2010-06-17,10.950000,10.950000,10.490000,10.610000,7.024356,37600
2010-06-18,10.560000,10.630000,10.490000,10.530000,6.971392,26400
2010-06-21,10.590000,10.790000,10.210000,10.220000,6.766157,36000
2010-06-22,10.170000,10.630000,10.170000,10.610000,7.024356,24800
2010-06-23,10.700000,10.730000,10.280000,10.720000,7.097182,49700
2010-06-24,10.590000,10.810000,10.490000,10.760000,7.123664,69000
2010-06-25,10.850000,10.850000,10.570000,10.690000,7.077319,10900
2010-06-28,10.760000,10.850000,10.610000,10.800000,7.150146,10100
2010-06-29,10.760000,10.760000,10.280000,10.330000,6.838982,28000
2010-06-30,10.370000,10.610000,10.300000,10.440000,6.911807,20900
2010-07-01,10.480000,10.480000,9.940000,10.430000,6.905189,49100
2010-07-02,10.420000,10.640000,10.270000,10.410000,6.891945,10200
2010-07-06,10.410000,10.580000,10.410000,10.460000,6.925049,27300
2010-07-07,10.440000,10.810000,10.440000,10.770000,7.130284,11300
2010-07-08,10.900000,10.940000,10.860000,10.940000,7.242832,3300
2010-07-09,10.890000,11.000000,10.890000,11.000000,7.282555,142100
2010-07-12,10.910000,11.000000,10.810000,10.850000,7.183248,18700
2010-07-13,10.940000,11.000000,10.740000,10.910000,7.222971,34800
2010-07-14,10.820000,10.980000,10.750000,10.850000,7.183248,18500
2010-07-15,10.790000,10.960000,10.530000,10.860000,7.189869,49200
2010-07-16,10.860000,10.900000,10.610000,10.770000,7.130284,34400
2010-07-19,10.780000,10.940000,10.460000,10.540000,6.978012,26500
2010-07-20,10.610000,11.000000,10.610000,10.950000,7.249454,53800
2010-07-21,10.940000,10.950000,10.630000,10.700000,7.083941,55400
2010-07-22,10.810000,11.000000,10.630000,10.960000,7.256074,59000
2010-07-23,10.990000,11.020000,10.710000,10.940000,7.242832,26800
2010-07-26,10.850000,11.000000,10.630000,11.000000,7.282555,56900
2010-07-27,11.000000,11.010000,10.850000,11.000000,7.282555,267700
2010-07-28,10.980000,11.000000,10.600000,10.790000,7.143525,39000
2010-07-29,10.930000,11.000000,10.860000,10.970000,7.262695,32800
2010-07-30,10.760000,11.010000,10.760000,10.950000,7.249454,37100
2010-08-02,11.000000,11.100000,10.930000,11.000000,7.282555,105700
2010-08-03,10.930000,11.450000,10.870000,11.440000,7.573858,125000
2010-08-04,11.450000,11.850000,11.300000,11.760000,7.785715,78000
2010-08-05,11.750000,12.060000,11.730000,11.980000,7.931364,53200
2010-08-06,11.950000,12.060000,11.730000,12.060000,7.984331,79900
2010-08-09,12.080000,12.300000,11.710000,12.290000,8.136600,48400
2010-08-10,12.250000,12.490000,12.050000,12.280000,8.129979,41800
2010-08-11,12.180000,12.200000,11.540000,11.810000,7.818817,38400
2010-08-12,11.580000,12.390000,11.580000,12.240000,8.103498,53900
2010-08-13,12.180000,12.390000,12.150000,12.300000,8.143222,50400
2010-08-16,12.210000,12.490000,12.140000,12.450000,8.242530,25900
2010-08-17,12.500000,12.510000,12.210000,12.390000,8.202806,36000
2010-08-18,12.480000,13.070000,12.410000,13.050000,8.639760,122600
2010-08-19,13.080000,13.100000,12.500000,12.600000,8.341838,25700
2010-08-20,12.600000,12.900000,12.490000,12.820000,8.487489,33700
2010-08-23,12.900000,13.020000,12.740000,12.740000,8.434525,41800
2010-08-24,12.560000,12.600000,12.270000,12.270000,8.123362,33100
2010-08-25,12.080000,12.460000,12.020000,12.420000,8.222669,17000
2010-08-26,12.440000,12.510000,12.260000,12.320000,8.156462,15700
2010-08-27,12.380000,12.600000,12.300000,12.550000,8.308735,12100
2010-08-30,12.600000,12.670000,12.350000,12.390000,8.202806,22100
2010-08-31,12.260000,12.600000,12.130000,12.560000,8.315354,62400
2010-09-01,12.590000,13.160000,12.360000,13.040000,8.633140,93900
2010-09-02,13.020000,13.330000,12.910000,13.230000,8.758928,56200
2010-09-03,13.350000,13.560000,13.180000,13.470000,8.917820,46000
2010-09-07,13.430000,13.580000,13.400000,13.490000,8.931062,8500
2010-09-08,13.570000,13.760000,13.130000,13.390000,8.864856,49500
2010-09-09,13.680000,13.800000,13.180000,13.250000,8.772171,29500
2010-09-10,13.250000,13.340000,13.090000,13.290000,8.798653,23900
2010-09-13,13.290000,13.500000,12.910000,13.180000,8.725826,53000
2010-09-14,13.170000,13.570000,13.130000,13.200000,8.739068,34200
2010-09-15,13.090000,13.160000,12.750000,12.940000,8.566935,45500
2010-09-16,12.920000,12.990000,12.740000,12.960000,8.580174,41900
2010-09-17,12.890000,13.140000,12.740000,12.900000,8.540453,25100
2010-09-20,12.830000,13.340000,12.830000,13.270000,8.785412,34200
2010-09-21,13.100000,13.280000,12.960000,13.220000,8.752308,38500
2010-09-22,13.140000,13.730000,13.140000,13.540000,8.964164,67100
2010-09-23,13.370000,13.580000,13.290000,13.580000,8.990646,40600
2010-09-24,13.560000,14.170000,13.500000,14.170000,9.381257,69000
2010-09-27,14.180000,14.500000,14.170000,14.470000,9.579872,64500
2010-09-28,14.500000,14.800000,14.340000,14.760000,9.771866,93800
2010-09-29,14.640000,14.670000,14.310000,14.590000,9.659317,54800
2010-09-30,14.690000,15.000000,14.580000,14.790000,9.791728,73300
