Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,43.830002,45.000000,43.810001,44.630001,35.920704,5100
2010-01-05,44.310001,44.310001,43.250000,43.830002,35.276814,5300
2010-01-06,43.900002,44.750000,43.900002,44.750000,36.017292,3900
2010-01-07,44.750000,44.990002,42.990002,44.320000,35.671204,11900
2010-01-08,43.950001,44.900002,43.849998,44.900002,36.138016,5600
2010-01-11,45.000000,45.669998,44.880001,45.619999,36.717510,5400
2010-01-12,45.669998,45.990002,45.610001,45.799999,36.862385,4900
2010-01-13,44.810001,45.099998,44.250000,44.500000,35.816074,15200
2010-01-14,44.500000,45.110001,44.500000,45.040001,36.250687,3000
2010-01-15,45.189999,45.189999,44.400002,44.549999,35.856312,1700
2010-01-19,44.200001,44.900002,43.630001,44.259998,35.622910,2600
2010-01-20,44.360001,44.360001,42.930000,43.000000,34.608791,2800
2010-01-21,43.000000,44.250000,42.560001,44.250000,35.614857,3400
2010-01-22,44.259998,45.299999,43.529999,43.529999,35.035362,5700
2010-01-25,43.970001,43.970001,41.299999,42.009998,33.811981,4400
2010-01-26,41.009998,42.090000,41.000000,41.830002,33.667110,3400
2010-01-27,41.599998,41.830002,41.549999,41.799999,33.642963,2400
2010-01-28,41.900002,41.900002,41.000000,41.500000,33.401505,2000
2010-01-29,41.119999,42.189999,41.119999,41.740002,33.594673,7900
2010-02-01,42.000000,42.169998,41.849998,42.110001,33.892471,2500
2010-02-02,42.139999,42.150002,41.650002,41.869999,33.699299,1700
2010-02-03,41.599998,41.980000,41.599998,41.980000,33.787838,1000
2010-02-04,41.750000,41.849998,41.000000,41.000000,32.999073,2400
2010-02-05,40.919998,41.639999,40.000000,40.110001,32.282757,9000
2010-02-08,40.240002,41.400002,40.099998,40.400002,32.516171,6900
2010-02-09,40.639999,41.500000,40.520000,40.520000,32.612743,7500
2010-02-10,40.549999,41.400002,40.549999,41.400002,33.321022,2900
2010-02-11,40.900002,41.299999,40.540001,41.000000,32.999073,5100
2010-02-12,40.000000,41.160000,40.000000,40.860001,32.886395,11100
2010-02-16,40.650002,40.650002,40.200001,40.500000,32.596649,600
2010-02-17,40.660000,40.799999,40.660000,40.700001,32.757626,1000
2010-02-18,40.590000,41.099998,40.590000,41.029999,33.023220,2400
2010-02-19,41.570000,41.570000,41.139999,41.139999,33.111755,1100
2010-02-22,40.799999,40.990002,40.380001,40.720001,32.773724,3100
2010-02-23,40.400002,41.849998,40.400002,41.419998,33.337112,11700
2010-02-24,41.740002,42.250000,41.549999,41.970001,33.779793,1600
2010-02-25,41.400002,41.790001,40.950001,40.950001,32.958839,1300
2010-02-26,41.150002,41.200001,41.049999,41.049999,33.039322,500
2010-03-01,40.599998,41.009998,40.000000,40.680000,32.741520,900
2010-03-02,40.560001,40.630001,40.020000,40.540001,32.628849,4100
2010-03-03,40.570000,42.240002,40.570000,42.240002,33.997101,6400
2010-03-04,42.250000,43.150002,41.790001,42.880001,34.512211,5100
2010-03-05,43.500000,45.000000,43.500000,44.240002,35.606812,10400
2010-03-08,44.099998,44.520000,43.650002,44.200001,35.574612,7200
2010-03-09,43.799999,44.200001,43.799999,43.849998,35.292915,3200
2010-03-10,43.849998,44.259998,43.849998,43.849998,35.292915,1000
2010-03-11,43.900002,44.000000,43.849998,43.849998,35.292915,1200
2010-03-12,43.860001,43.990002,43.849998,43.849998,35.292915,1200
2010-03-15,44.419998,44.419998,43.849998,43.869999,35.309013,3600
2010-03-16,44.320000,44.840000,43.869999,43.869999,35.309013,4100
2010-03-17,43.900002,43.910000,43.849998,43.849998,35.292915,4200
2010-03-18,43.849998,44.869999,42.759998,43.200001,34.769760,10800
2010-03-19,42.799999,43.189999,42.779999,42.799999,34.447819,1300
2010-03-22,42.790001,43.799999,42.790001,43.139999,34.721466,1700
2010-03-23,42.770000,42.820000,42.430000,42.430000,34.150028,2600
2010-03-24,42.000000,42.830002,42.000000,42.830002,34.471970,3400
2010-03-25,43.169998,43.169998,42.430000,42.430000,34.150028,200
2010-03-26,42.450001,43.000000,42.000000,43.000000,34.608791,17100
2010-03-29,42.939999,43.400002,42.720001,43.139999,34.721466,3100
2010-03-30,43.000000,43.080002,43.000000,43.080002,34.673180,200
2010-03-31,43.320000,43.770000,43.040001,43.500000,35.011219,2000
2010-04-01,43.009998,43.590000,43.000000,43.450001,34.970978,1000
2010-04-05,43.450001,44.090000,43.290001,44.009998,35.421688,1600
2010-04-06,44.450001,44.720001,44.139999,44.139999,35.526321,1600
2010-04-07,43.709999,43.970001,43.669998,43.970001,35.389500,600
2010-04-08,43.970001,43.970001,43.590000,43.680000,35.156090,1400
2010-04-09,43.650002,43.980000,43.639999,43.869999,35.309013,1900
2010-04-12,43.799999,44.299999,43.709999,43.779999,35.236576,2700
2010-04-13,43.630001,43.869999,43.630001,43.790001,35.244621,1000
2010-04-14,43.900002,44.450001,43.619999,43.630001,35.115849,6900
2010-04-15,43.919998,43.919998,43.720001,43.880001,35.317062,1600
2010-04-16,43.750000,43.970001,43.700001,43.700001,35.172192,1700
2010-04-19,43.700001,43.750000,43.250000,43.750000,35.212433,7100
2010-04-20,43.790001,43.820000,43.790001,43.820000,35.268772,600
2010-04-21,43.799999,44.520000,43.099998,44.520000,37.032925,5100
